long,lat,OBJECTID,WardsPrec,Ward,Precinct,Location2,Location3,Location4
-71.03515013,42.329113747941975,60,Ward 7 Precincts 1 and 2,7,1,CURLEY RECREATION CENTER,"1663 COLUMBIA ROAD,",(L STREET BATH HOUSE) -
-71.0669118,42.315635080057007,61,Ward 7 Precinct 10 AND Ward 13 Precinct 5,7,10,UPHAMS CROSSING -,"530 COLUMBIA ROAD,", 
-71.03515013,42.329113747941975,62,Ward 7 Precincts 1 and 2,7,2,CURLEY RECREATION CENTER,"1663 COLUMBIA ROAD,",(L STREET BATH HOUSE) -
-71.04176538,42.330832629101558,63,Ward 7 Precinct 3,7,3,FOLEY APARTMENTS -,"199 H STREET,", 
-71.05042907,42.333565092997183,64,Ward 7 Precinct 4,7,4,UP ACADEMY (FORMERLY KNOWN AS GAVIN EDUCATION COMPLEX) -,"215 DORCHESTER STREET,", 
-71.05301671,42.332955750222048,65,Ward 7 Precinct 5,7,5,WEST NINTH STREET ELDERLY COMMUNITY ROOM -,185 WEST NINTH STREET, 
-71.05291,42.32878004008252,66,Ward 7 Precincts 6 and 7,7,6,MARY ELLEN MCCORMACK,"345 OLD COLONY AVENUE,",TASK FORCE OFFICE -
-71.05291,42.32878004008252,67,Ward 7 Precincts 6 and 7,7,7,MARY ELLEN MCCORMACK,"345 OLD COLONY AVENUE,",TASK FORCE OFFICE -
-71.05887,42.324250039978608,68,Ward 7 Precincts 8 and 9,7,8,BELLFLOWER APARTMENTS -,"24 BELLFLOWER STREET,", 
-71.05887,42.324250039978608,69,Ward 7 Precincts 8 and 9,7,9,BELLFLOWER APARTMENTS -,"24 BELLFLOWER STREET,", 
-71.06882392,42.341393310315013,70,"Ward 3 Precinct 7, Ward 8 Precincts 1 and 2",8,1,CATHEDRAL HIGH SCHOOL GYMNASIUM -,"1336 WASHINGTON STREET,", 
-71.06882392,42.341393310315013,71,"Ward 3 Precinct 7, Ward 8 Precincts 1 and 2",8,2,CATHEDRAL HIGH SCHOOL GYMNASIUM -,"1336 WASHINGTON STREET,", 
-71.07852836,42.329891139781893,72,Ward 8 Precincts 3 and 4,8,3,ORCHARD GARDENS COMMUNITY CENTER -,"2 DEARBORN STREET,", 
-71.07852836,42.329891139781893,73,Ward 8 Precincts 3 and 4,8,4,ORCHARD GARDENS COMMUNITY CENTER -,"2 DEARBORN STREET,", 
-71.06964679,42.319310605133985,74,"Ward 8 Precincts 5, 6 and 7",8,5,THE SALVATION ARMY RAY & JOAN KROC COMMUNITY CENTER -,"650 DUDLEY STREET,", 
-71.06964679,42.319310605133985,75,"Ward 8 Precincts 5, 6 and 7",8,6,THE SALVATION ARMY RAY & JOAN KROC COMMUNITY CENTER -,"650 DUDLEY STREET,", 
-71.06964679,42.319310605133985,76,"Ward 8 Precincts 5, 6 and 7",8,7,THE SALVATION ARMY RAY & JOAN KROC COMMUNITY CENTER -,"650 DUDLEY STREET,", 
-71.07354818,42.342244658108356,77,Ward 9 Precinct 1,9,1,YOUTH DEVELOPMENT PROGRAM -,100 WEST DEDHAM STREET., 
-71.07621,42.33744003999248,78,Ward 9 Precinct 2,9,2,WASHINGTON MANOR APARTMENTS -,"1701 WASHINGTON STREET,", 
-71.07818,42.336730040030034,79,Ward 9 Precinct 3,9,3,HAMPTON HOUSE -,"155 NORTHAMPTON STREET,", 
-71.09112,42.329690040067334,80,Ward 9 Precinct 5,9,5,MARCUS GARVEY GARDENS -,"44 JOHN ELIOT SQUARE,", 
-71.0986498,42.333963436687277,81,Ward 10 Precincts 1 and 2,10,1,MISSION MAIN COMMUNITY CENTER -,43 SMITH STREET, 
-71.0986498,42.333963436687277,82,Ward 10 Precincts 1 and 2,10,2,MISSION MAIN COMMUNITY CENTER -,43 SMITH STREET, 
-71.09814,42.332210039770416,83,Ward 10 Precincts 3 and 5,10,3,TOBIN MUNICIPAL BUILDING -,"1481 TREMONT STREET,", 
-71.09814,42.332210039770416,84,Ward 10 Precincts 3 and 5,10,5,TOBIN MUNICIPAL BUILDING -,"1481 TREMONT STREET,", 
-71.10583878,42.321776703026558,85,Ward 10 Precinct 6,10,6,JOHN F. KENNEDY ELEMENTARY SCHOOL -,"7 BOLSTER STREET,", 
-71.101838,42.323912039692857,86,Ward 10 Precinct 7,10,7,JULIA MARTIN HOUSE -,"90 BICKFORD STREET,", 
-71.11042,42.329310041324263,87,Ward 10 Precinct 8,10,8,BACK OF THE HILL APARTMENTS -,100 SOUTH HUNTINGTON AVENUE., 
-71.11295,42.318500039932943,88,Ward 10 Precinct 9 and Ward 19 Precincts 1 and 3,10,9,CURLEY K-8 (FORMERLY KNOWN AS MARY E. CURLEY SCHOOL) -,"493 CENTRE STREET,", 
-71.09561587,42.329278950887314,89,Ward 11 Precinct 1,11,1,ROXBURY COMMUNITY COLLEGE -,"1234 COLUMBUS AVENUE,", 
-71.11429,42.307260040003598,90,Ward 11 Precincts 9 and 10 and Ward 19 Precincts 8 and 9,11,10,MARGARITA MUNIZ ACADEMY,"20 CHILD STREET,",(FORMERLY
-71.09016396,42.32242512,91,Ward 11 Precinct 2,11,2,SHELBURNE CENTER -,"2730 WASHINGTON STREET,", 
-71.08630897,42.320939717797053,92,"Ward 11 Precinct 3 and Ward 12 Precincts 3, 8 and 9",11,3,HIGGINSON/LEWIS K-8 SCHOOL -,"131 WALNUT AVENUE,", 
-71.10089,42.31937004,93,Ward 11 Precinct 4,11,4,AMORY STREET APARTMENTS -,"125 AMORY STREET,", 
-71.0972,42.31532004014943,94,Ward 11 Precinct 5,11,5,WALNUT PARK APARTMENTS -,"1990 COLUMBUS AVENUE,", 
-71.10366,42.310810039773791,95,Ward 11 Precinct 6,11,6,BROOKSIDE FAMILY LIFE CENTER -,"3297 WASHINGTON STREET,", 
-71.1096,42.306000040053966,96,Ward 11 Precincts 7 and 8,11,7,BOSTON ENGLISH HIGH SCHOOL -,"144 MCBRIDE STREET,", 
-71.1096,42.306000040053966,97,Ward 11 Precincts 7 and 8,11,8,BOSTON ENGLISH HIGH SCHOOL -,"144 MCBRIDE STREET,", 
-71.11429,42.307260040003598,98,Ward 11 Precincts 9 and 10 and Ward 19 Precincts 8 and 9,11,9,MARGARITA MUNIZ ACADEMY,"20 CHILD STREET,", (FORMERLY
-71.0838,42.326790040331829,99,Ward 12 Precincts 1 & 4,12,1,BOYS AND GIRLS CLUB OF BOSTON - YAWKEY CLUB OF ROXBURY,"115 WARREN STREET,", 
-71.08331,42.318760040299175,100,Ward 12 Precincts 2 & 5,12,2,DR MARTIN LUTHER KING JR. TOWERS -,"280 MARTIN L. KING BOULEVARD,", 
-71.08630897,42.320939717797053,101,"Ward 11 Precinct 3 and Ward 12 Precincts 3, 8 and 9",12,3,HIGGINSON/LEWIS K-8 SCHOOL -,"131 WALNUT AVENUE,", 
-71.0838,42.326790040331829,102,Ward 12 Precincts 1 & 4,12,4,BOYS AND GIRLS CLUB OF BOSTON - YAWKEY CLUB OF ROXBURY,"115 WARREN STREET,", 
-71.08331,42.318760040299175,103,Ward 12 Precincts 2 & 5,12,5,DR MARTIN LUTHER KING JR. TOWERS -,"280 MARTIN L. KING BOULEVARD,", 
-71.07878001,42.31510906609428,104,Ward 12 Precinct 6,12,6,REVEREND DR. MICHAEL E. HAYNES EARLY EDUCATION CENTER -,"263 BLUE HILL AVENUE,", 
-71.08902,42.308060040200779,105,Ward 12 Precinct 7,12,7,HOLGATE APARTMENTS -,"129 ELM HILL AVENUE,", 
-71.08630897,42.320939717797053,106,"Ward 11 Precinct 3 and Ward 12 Precincts 3, 8 and 9",12,8,HIGGINSON/LEWIS K-8 SCHOOL -,"131 WALNUT AVENUE,", 
-71.08630897,42.320939717797053,107,"Ward 11 Precinct 3 and Ward 12 Precincts 3, 8 and 9",12,9,HIGGINSON/LEWIS K-8 SCHOOL -,"131 WALNUT AVENUE,", 
-71.07728,42.315830041151813,108,Ward 13 Precincts 1 and 2,13,1,CARDINAL MEDEIROS MANOR -,"11 WOODCLIFF STREET,", 
-71.05404,42.312130040153178,109,Ward 13 Precinct 10,13,10,CRISTO REY BOSTON HIGH SCHOOL -,100 SAVIN HILL AVENUE., 
-71.07728,42.315830041151813,110,Ward 13 Precincts 1 and 2,13,2,CARDINAL MEDEIROS MANOR -,"11 WOODCLIFF STREET,", 
-71.04330569,42.318586069184299,111,Ward 1 Precinct 15 and Ward 13 Precinct 3,13,3,HARBOR POINT TECHNOLOGY CENTER -,"15 HARBOR POINT BOULEVARD,", 
-71.0754062,42.309048361741709,112,"Ward 13 Precinct 4, Ward 14 Precincts 1, 3 and 4 and Ward 15 Precinct 1",13,4,LILLA G. FREDERICK PILOT MIDDLE SCHOOL -,"270 COLUMBIA ROAD,", 
-71.0669118,42.315635080057007,113,Ward 7 Precinct 10 AND Ward 13 Precinct 5,13,5,UPHAMS CROSSING -,"530 COLUMBIA ROAD,", 
-71.06133809,42.317770479016723,114,Ward 13 Precinct 6,13,6,ANNAPOLIS APARTMENTS -,"8A ANNAPOLIS STREET,", 
-71.05704,42.31937004,115,Ward 13 Precincts 7 and 8,13,7,CATHERINE F. CLARK APARTMENTS -,"915 DORCHESTER AVENUE,", 
-71.05704,42.31937004,116,Ward 13 Precincts 7 and 8,13,8,CATHERINE F. CLARK APARTMENTS -,"915 DORCHESTER AVENUE,", 
-71.05976917,42.313678987748268,117,Ward 13 Precinct 9,13,9,EDWARD EVERETT ELEMENTARY SCHOOL -,"71 PLEASANT STREET,", 
-71.0754062,42.309048361741709,118,"Ward 13 Precinct 4, Ward 14 Precincts 1, 3 and 4 and Ward 15 Precinct 1",14,1,LILLA G. FREDERICK PILOT MIDDLE SCHOOL -,"270 COLUMBIA ROAD,", 
-71.09242413,42.282272537158626,119,"Ward 14 Precincts 8, 11 and 14",14,11,MORNING STAR BAPTIST CHURCH -,"1257 BLUE HILL AVENUE,", 
-71.08611,42.28256003968545,120,Ward 14 Precincts 12 and 13,14,12,METROPOLITAN BAPTIST CHURCH -,393 NORFOLK STREET., 
-71.08611,42.28256003968545,121,Ward 14 Precincts 12 and 13,14,13,METROPOLITAN BAPTIST CHURCH -,393 NORFOLK STREET., 
-71.09242413,42.282272537158626,122,"Ward 14 Precincts 8, 11 and 14",14,14,MORNING STAR BAPTIST CHURCH -,"1257 BLUE HILL AVENUE,", 
-71.0754062,42.309048361741709,123,"Ward 13 Precinct 4, Ward 14 Precincts 1, 3 and 4 and Ward 15 Precinct 1",14,3,LILLA G. FREDERICK PILOT MIDDLE SCHOOL -,"270 COLUMBIA ROAD,", 
-71.0754062,42.309048361741709,124,"Ward 13 Precinct 4, Ward 14 Precincts 1, 3 and 4 and Ward 15 Precinct 1",14,4,LILLA G. FREDERICK PILOT MIDDLE SCHOOL -,"270 COLUMBIA ROAD,", 
-71.08683973,42.282112326987708,125,Ward 14 Precinct 5,14,5,PAULINE AGASSIZ SHAW SCHOOL -,"429 NORFOLK STREET,", 
-71.08051725,42.292016477298461,126,Ward 14 Precinct 7,14,7,JOSEPH LEE SCHOOL -,"155 TALBOT AVENUE,", 
-71.09242413,42.282272537158626,127,"Ward 14 Precincts 8, 11 and 14",14,8,MORNING STAR BAPTIST CHURCH -,"1257 BLUE HILL AVENUE,", 
-71.08628,42.294110040236646,128,Ward 14 Precinct 9,14,9,BOYS & GIRLS CLUB -,"15 TALBOT AVENUE,", 
-71.0754062,42.309048361741709,129,"Ward 13 Precinct 4, Ward 14 Precincts 1, 3 and 4 and Ward 15 Precinct 1",15,1,LILLA G. FREDERICK PILOT MIDDLE SCHOOL -,"270 COLUMBIA ROAD,", 
-71.0616162,42.307776812164803,130,Ward 15 Precincts 2 and 3,15,2,FIRE STATION -,7 PARISH STREET., 
-71.0616162,42.307776812164803,131,Ward 15 Precincts 2 and 3,15,3,FIRE STATION -,7 PARISH STREET., 
-71.06507128,42.308422545195207,132,Ward 15 Precinct 4,15,4,PASCIUCCO APARTMENTS -,330 BOWDOIN STREET., 
-71.07117908,42.299767946946538,133,Ward 15 Precinct 5 and Ward 17 Precinct 2,15,5,UP ACADEMY OF DORCHESTER -,"35 WESTVILLE STREET,",(FORMERLY
-71.05631,42.310050041109463,134,Ward 15 Precinct 6,15,6,SAVIN HILL APARTMENTS -,"130 AUCKLAND STREET,", 
-71.070195,42.35723404015426,135,Ward 15 Precincts 7 and 8,15,7,VIET AID COMMUNITY CENTER -,"42 CHARLES STREET,", 
-71.070195,42.35723404015426,136,Ward 15 Precincts 7 and 8,15,8,VIET AID COMMUNITY CENTER -,"42 CHARLES STREET,", 
-71.05944902,42.304430075330423,137,Ward 15 Precinct 9,15,9,DORCHESTER HOUSE -,"1353 DORCHESTER AVENUE,", 
-71.06222006,42.293958105772184,138,Ward 16 Precincts 1 and 4,16,1,DR. WILLIAM W. HENDERSON INCLUSION ELEMENTARY SCHOOL,"1669 DORCHESTER AVENUE,",(FORMERLY PATRICK O'HEARN SCHOOL) -
-71.04929904,42.290798890907809,139,Ward 16 Precincts 7 and 10,16,10,SAINT JOHN PAUL II CATHOLIC ACADEMY NEPONSET CAMPUS,"239 NEPONSET AVENUE,",(FORMERLY KNOWN AS SAINT ANN'S SCHOOL)
-71.04765865,42.282376333704072,140,Ward 16 Precincts 11 and 12,16,11,FLORIAN HALL -,"55 HALLET STREET,", 
-71.04765865,42.282376333704072,141,Ward 16 Precincts 11 and 12,16,12,FLORIAN HALL -,"55 HALLET STREET,", 
-71.05311548,42.296636890206429,142,Ward 16 Precinct 2,16,2,NATIONAL GUARD ARMORY -,70 VICTORY ROAD., 
-71.06222006,42.293958105772184,143,Ward 16 Precincts 1 and 4,16,4,DR. WILLIAM W. HENDERSON INCLUSION ELEMENTARY SCHOOL,"1669 DORCHESTER AVENUE,",(FORMERLY PATRICK O'HEARN SCHOOL) -
-71.04920386,42.294204147057386,144,Ward 16 Precinct 5,16,5,RICHARD J. MURPHY SCHOOL -,"1 WORRELL STREET,", 
-71.04929904,42.290798890907809,145,Ward 16 Precincts 7 and 10,16,7,SAINT JOHN PAUL II CATHOLIC ACADEMY NEPONSET CAMPUS,"239 NEPONSET AVENUE,",(FORMERLY KNOWN AS SAINT ANN'S SCHOOL)
-71.05441187,42.286274552849811,146,Ward 16 Precinct 8,16,8,ADAMS STREET BRANCH LIBRARY -,"690 ADAMS STREET,", 
-71.05319095,42.286541631018288,147,Ward 16 Precinct 9,16,9,THOMAS J. KENNY ELEMENTARY  SCHOOL -,"19 OAKTON AVENUE,", 
-71.15828,42.348860039858046,148,Ward 17 Precincts 1 and 3,17,1,CODMAN SQUARE TECH CENTER -,450 WASHINGTON STREET., 
-71.09119808,42.276046593701587,149,Ward 17 Precincts 7 and 10 and Ward 18 Precinct 2,17,10,MILDRED AVE SCHOOL -,"5 MILDRED AVENUE,",VOTER ENTRANCE DOOR B & C TO THE LEFT
-71.06956934,42.281253109844222,150,Ward 17 Precincts 4 and 11,17,11,HENDERSON UPPER (FORMERLY KNOWN AS WOODROW WILSON MIDDLE SCHOOL) -,"18 CROFTLAND AVENUE,", 
-71.07742997,42.277852129169084,151,Ward 17 Precinct 12,17,12,CHARLES H. TAYLOR ELEMENTARY SCHOOL -,1060 MORTON STREET,", CORNER OF PINE"
-71.06854174,42.273606248783402,152,Ward 17 Precincts 13 and 14,17,13,LOWER MILLS LIBRARY -,"27 RICHMOND STREET,", 
-71.06854174,42.273606248783402,153,Ward 17 Precincts 13 and 14,17,14,LOWER MILLS LIBRARY -,"27 RICHMOND STREET,", 
-71.07117908,42.299767946946538,154,Ward 15 Precinct 5 and Ward 17 Precinct 2,17,2,UP ACADEMY OF DORCHESTER -,"35 WESTVILLE STREET,",(FORMERLY
-71.15828,42.348860039858046,155,Ward 17 Precincts 1 and 3,17,3,CODMAN SQUARE TECH CENTER -,450 WASHINGTON STREET., 
-71.06956934,42.281253109844222,156,Ward 17 Precincts 4 and 11,17,4,HENDERSON UPPER (FORMERLY KNOWN AS WOODROW WILSON MIDDLE SCHOOL) -,"18 CROFTLAND AVENUE,", 
-71.0708664,42.287637809681854,157,"Ward 17 Precincts 5, 6 and 8",17,5,CODMAN SQUARE BRANCH LIBRARY -,"690 WASHINGTON STREET,", 
-71.0708664,42.287637809681854,158,"Ward 17 Precincts 5, 6 and 8",17,6,CODMAN SQUARE BRANCH LIBRARY -,"690 WASHINGTON STREET,", 
-71.09119808,42.276046593701587,159,Ward 17 Precincts 7 and 10 and Ward 18 Precinct 2,17,7,MILDRED AVE SCHOOL -,"5 MILDRED AVENUE,",VOTER ENTRANCE DOOR B & C TO THE LEFT
-71.0708664,42.287637809681854,160,"Ward 17 Precincts 5, 6 and 8",17,8,CODMAN SQUARE BRANCH LIBRARY -,"690 WASHINGTON STREET,", 
-71.07095,42.284240040008704,161,Ward 17 Precinct 9,17,9,CODMAN SQUARE APARTMENTS -,"784 WASHINGTON STREET,", 
-71.07946196,42.272731955701964,162,Ward 18 Precincts 1 and 4,18,1,GROVELAND COMMUNITY,"15 MARY MOORE BEATTY CIRCLE,", 
-71.13533,42.277760039743406,163,Ward 18 Precincts 10 and 11,18,10,PHINEAS BATES ELEMENTARY SCHOOL -,"426 BEECH STREET,", 
-71.13533,42.277760039743406,164,Ward 18 Precincts 10 and 11,18,11,PHINEAS BATES ELEMENTARY SCHOOL -,"426 BEECH STREET,", 
-71.12889087,42.2587978,165,Ward 18 Precincts 12 & 19,18,12,BOSTON TRINITY ACADEMY -,"17 HALE STREET,", 
-71.124802,42.251683039875978,166,Ward 18 Precincts 13 and 18,18,13,THE BLAKE ESTATES -,"1344 HYDE PARK AVENUE,", 
-71.11781,42.265230039778004,167,"Ward 18 Precincts 8, 14 and 15",18,14,ANOTHER COURSE TO COLLEGE (FORMERLY ELIHU GREENWOOD LEADERSHIP ACADEMY ) -,"612 METROPOLITAN AVENUE,", 
-71.11781,42.265230039778004,168,"Ward 18 Precincts 8, 14 and 15",18,15,ANOTHER COURSE TO COLLEGE (FORMERLY ELIHU GREENWOOD LEADERSHIP ACADEMY ) -,"612 METROPOLITAN AVENUE,", 
-71.11026,42.254000040282207,169,Ward 18 Precinct 16,18,16,BOSTON BAPTIST COLLEGE -,"950 METROPOLITAN AVENUE,", 
-71.12418362,42.243205866152181,170,Ward 18 Precinct 17,18,17,FRANKLIN D. ROOSEVELT K-8 SCHOOL -,"95 NEEDHAM ROAD,", 
-71.124802,42.251683039875978,171,Ward 18 Precincts 13 and 18,18,18,THE BLAKE ESTATES -,"1344 HYDE PARK AVENUE,", 
-71.12889087,42.2587978,172,Ward 18 Precincts 12 & 19,18,19,BOSTON TRINITY ACADEMY -,"17 HALE STREET,", 
